224,6.7/10,70%,63/100,Nominated for 1 Oscar. 4 wins & 5 nominations total
225,6.1/10,59%,58/100,2 wins & 2 nominations
227,5.6/10,41%,,
228,4.6/10,17%,,
229,7.3/10,82%,72/100,5 nominations
230,7.4/10,85%,62/100,1 win & 8 nominations
231,7.3/10,67%,41/100,5 wins & 3 nominations
232,7.8/10,88%,,Nominated for 1 Oscar. 7 wins & 16 nominations total
233,7.1/10,94%,71/100,16 wins & 12 nominations
234,4.3/10,5%,,1 win & 4 nominations
235,7.8/10,92%,70/100,Won 2 Oscars. 27 wins & 34 nominations total
236,6.6/10,50%,50/100,2 nominations
237,6.5/10,48%,,1 win
238,6.3/10,57%,,3 nominations
239,6.9/10,61%,,5 nominations
240,5.3/10,20%,,1 nomination
241,6.7/10,27%,,2 nominations
242,6.8/10,60%,,Nominated for 1 Oscar. 6 wins & 4 nominations total
243,3.7/10,21%,,1 win
246,8.3/10,98%,98/100,Nominated for 1 Oscar. 22 wins & 9 nominations total
247,7.3/10,93%,86/100,Nominated for 1 Oscar. 17 wins & 15 nominations total
248,6.0/10,14%,,
249,7.4/10,56%,,1 nomination
250,6.7/10,29%,42/100,
251,6.0/10,8%,,
252,6.2/10,43%,66/100,
253,7.5/10,64%,59/100,Nominated for 2 Oscars. 24 wins & 36 nominations total
254,5.7/10,31%,45/100,2 nominations
255,4.7/10,17%,,
256,4.7/10,38%,59/100,Nominated for 1 Oscar. 5 nominations total
257,6.4/10,26%,48/100,1 win
258,4.8/10,5%,34/100,1 nomination
259,5.9/10,67%,,1 nomination
260,8.6/10,92%,90/100,Won 7 Oscars. 63 wins & 29 nominations total
261,7.3/10,,87/100,Nominated for 3 Oscars. 7 wins & 20 nominations total
262,7.6/10,97%,83/100,Nominated for 2 Oscars. 3 wins & 9 nominations total
263,7.4/10,75%,,6 wins & 4 nominations
265,7.1/10,87%,86/100,Nominated for 1 BAFTA Film Award26 wins & 13 nominations total
266,7.5/10,,45/100,Won 1 Oscar. 3 wins & 12 nominations total
267,6.3/10,31%,34/100,
269,6.5/10,73%,,
270,6.0/10,29%,55/100,2 nominations
271,6.4/10,45%,,1 nomination
272,7.2/10,93%,89/100,Won 1 Oscar. 16 wins & 20 nominations total
273,6.4/10,37%,49/100,Nominated for 1 Oscar. 20 nominations total
274,5.3/10,14%,,2 nominations
275,5.5/10,13%,14/100,1 nomination
276,5.6/10,12%,,1 nomination
277,6.6/10,60%,,1 nomination
278,5.4/10,45%,,1 nomination
279,7.3/10,79%,,Nominated for 1 Oscar. 3 wins & 5 nominations total
280,7.3/10,51%,,2 wins & 2 nominations
281,7.4/10,91%,86/100,Nominated for 2 Oscars. 5 wins & 10 nominations total
282,6.5/10,56%,60/100,Nominated for 1 Oscar. 5 wins & 7 nominations total
283,6.7/10,62%,,3 nominations
284,4.2/10,,,
285,3.3/10,,,1 nomination
287,5.5/10,50%,,1 nomination
288,7.3/10,48%,74/100,5 wins & 11 nominations
289,6.5/10,54%,,
290,7.9/10,93%,77/100,22 wins & 7 nominations
291,4.5/10,14%,,
292,6.6/10,59%,64/100,5 wins & 5 nominations
293,8.5/10,73%,64/100,6 wins & 15 nominations
294,6.0/10,67%,,
295,5.4/10,0%,,
296,8.9/10,92%,94/100,Won 1 Oscar. 70 wins & 75 nominations total
298,7.2/10,,,6 wins & 8 nominations
299,7.1/10,70%,,Nominated for 1 BAFTA Film Award4 wins & 3 nominations total
300,7.5/10,96%,92/100,Nominated for 4 Oscars. 6 wins & 36 nominations total
301,6.6/10,82%,,2 wins & 4 nominations
302,7.4/10,82%,,Nominated for 1 Oscar. 10 wins & 17 nominations total
303,6.5/10,58%,49/100,1 nomination
304,6.4/10,29%,,Nominated for 1 Oscar. 2 nominations total
305,5.2/10,24%,48/100,3 wins & 3 nominations
306,8.1/10,100%,100/100,Nominated for 3 Oscars. 19 wins & 29 nominations total
307,7.9/10,98%,85/100,21 wins & 18 nominations
308,7.6/10,87%,88/100,2 wins & 7 nominations
310,5.5/10,,,1 win.
311,5.5/10,,,
312,5.3/10,30%,54/100,2 nominations
313,6.5/10,50%,,1 win & 8 nominations
314,7.5/10,96%,,1 win & 9 nominations
315,5.6/10,7%,,4 wins & 7 nominations
316,7.1/10,53%,42/100,6 wins & 6 nominations
317,6.5/10,73%,57/100,2 wins & 8 nominations
318,9.3/10,91%,81/100,Nominated for 7 Oscars. 21 wins & 43 nominations total
319,7.3/10,70%,67/100,Won 1 BAFTA Film Award14 wins & 1 nomination total
320,6.6/10,71%,,2 wins & 6 nominations
321,7.4/10,80%,,Nominated for 1 Oscar. 25 wins & 2 nominations total
322,7.1/10,78%,66/100,4 wins & 4 nominations
324,7.3/10,67%,,6 wins & 5 nominations
325,5.6/10,0%,,
326,8.3/10,87%,,Won 1 BAFTA Film Award7 wins & 8 nominations total
327,5.4/10,40%,46/100,
328,6.7/10,37%,48/100,2 wins & 2 nominations
329,6.6/10,47%,55/100,2 wins & 4 nominations
330,6.4/10,55%,,2 nominations
331,6.3/10,31%,,Nominated for 2 Oscars. 3 wins & 6 nominations total
332,5.7/10,31%,41/100,3 nominations
333,7.1/10,41%,46/100,1 win & 2 nominations
334,7.4/10,89%,,3 wins & 13 nominations
335,6.1/10,63%,69/100,1 nomination
336,4.8/10,0%,,
337,7.7/10,90%,73/100,Nominated for 1 Oscar. 8 wins & 7 nominations total
338,5.6/10,31%,39/100,1 nomination
339,6.7/10,81%,67/100,4 wins & 5 nominations
340,6.8/10,25%,,1 win & 3 nominations
341,7.0/10,73%,,6 wins & 6 nominations
342,7.2/10,80%,63/100,Nominated for 1 BAFTA Film Award9 wins & 12 nominations total
343,5.7/10,67%,48/100,2 wins & 1 nomination
344,6.9/10,49%,37/100,5 wins & 5 nominations
345,7.5/10,96%,70/100,Won 1 Oscar. 13 wins & 19 nominations total
346,6.6/10,69%,,Won 1 BAFTA Film Award5 wins & 4 nominations total
347,7.2/10,65%,62/100,1 win & 2 nominations
348,7.4/10,95%,,Won 1 Oscar. 22 wins & 30 nominations total
349,6.9/10,80%,74/100,Nominated for 2 Oscars. 3 wins & 11 nominations total
350,6.8/10,78%,65/100,Nominated for 1 Oscar. 3 wins & 4 nominations total
351,6.6/10,39%,,3 nominations
352,7.0/10,77%,65/100,3 nominations
353,7.6/10,85%,71/100,5 wins & 7 nominations
354,6.4/10,65%,66/100,1 nomination
355,4.9/10,20%,38/100,6 wins & 10 nominations
356,8.8/10,70%,82/100,Won 6 Oscars. 50 wins & 75 nominations total
357,7.1/10,96%,81/100,Nominated for 2 Oscars. 24 wins & 28 nominations total
358,6.5/10,45%,54/100,1 win & 1 nomination
359,6.8/10,82%,,1 win & 5 nominations
360,5.3/10,22%,,
361,6.4/10,71%,64/100,
362,6.1/10,80%,63/100,2 nominations
363,8.4/10,96%,,5 wins & 2 nominations
364,8.5/10,93%,88/100,Won 2 Oscars. 39 wins & 35 nominations total
365,6.1/10,65%,,2 wins & 3 nominations
366,6.4/10,80%,64/100,3 wins & 7 nominations
367,6.9/10,80%,56/100,Nominated for 1 Oscar. 6 wins & 21 nominations total
368,7.0/10,67%,62/100,Nominated for 1 Oscar. 1 win & 2 nominations total
369,6.4/10,75%,66/100,2 wins & 8 nominations
370,6.5/10,54%,63/100,3 wins
371,6.7/10,88%,70/100,Nominated for 1 Oscar. 1 nomination total
372,6.6/10,64%,67/100,2 nominations
373,7.0/10,97%,79/100,3 nominations
374,5.4/10,26%,49/100,2 nominations
376,6.4/10,57%,63/100,4 nominations
377,7.2/10,94%,78/100,Won 2 Oscars. 20 wins & 20 nominations total
378,5.7/10,11%,,1 nomination
379,5.9/10,43%,48/100,1 win & 4 nominations
380,7.3/10,69%,63/100,Nominated for 1 Oscar. 8 wins & 23 nominations total
381,6.6/10,70%,,4 nominations
